reviewer_id,listing_id,id,year,sentiment,weight
James_12379656,(L) 28483909,336097312,2018,Positive,2
James_12379656,(L) 29087621,344531969,2018,Negative,1
Shin Khoon_120060989,(L) 73639,137660014,2017,Positive,2
Shin Khoon_120060989,(L) 1769170,140430972,2017,Negative,1
Shin Khoon_120060989,(L) 5366904,139136921,2017,Negative,1
Shin Khoon_120060989,(L) 5999550,304107534,2018,Negative,1
Shin Khoon_120060989,(L) 13438832,282999314,2018,Negative,1
Shin Khoon_120060989,(L) 13438832,346483232,2018,Negative,1
Shin Khoon_120060989,(L) 13704039,285859195,2018,Negative,1
Shin Khoon_120060989,(L) 15044083,263030077,2018,Negative,1
Shin Khoon_120060989,(L) 15044083,267818841,2018,Negative,1
Shin Khoon_120060989,(L) 15044083,271293751,2018,Negative,1
Shin Khoon_120060989,(L) 15044083,273947765,2018,Negative,1
Shin Khoon_120060989,(L) 15044083,276796668,2018,Negative,1
Shin Khoon_120060989,(L) 15044083,331853685,2018,Negative,1
Shin Khoon_120060989,(L) 15044083,335015149,2018,Negative,1
Shin Khoon_120060989,(L) 16445449,279515050,2018,Positive,2
Shin Khoon_120060989,(L) 16749067,220126405,2017,Positive,2
Shin Khoon_120060989,(L) 17026373,147692022,2017,Negative,1
Shin Khoon_120060989,(L) 17560855,191264034,2017,Negative,1
Shin Khoon_120060989,(L) 17560855,193520993,2017,Negative,1
Shin Khoon_120060989,(L) 17560855,195819246,2017,Negative,1
Shin Khoon_120060989,(L) 17560855,213740343,2017,Negative,1
Shin Khoon_120060989,(L) 17560855,308147759,2018,Positive,2
Shin Khoon_120060989,(L) 17560855,353622070,2018,Positive,2
Shin Khoon_120060989,(L) 19304312,208535215,2017,Negative,1
Shin Khoon_120060989,(L) 20055551,200539609,2017,Negative,1
Shin Khoon_120060989,(L) 20701633,348698053,2018,Negative,1
Shin Khoon_120060989,(L) 21971426,226648683,2018,Negative,1
Shin Khoon_120060989,(L) 23095433,296485482,2018,Positive,2
Shin Khoon_120060989,(L) 23095433,351180466,2018,Positive,2
Shin Khoon_120060989,(L) 23735284,265350938,2018,Positive,2
Lucy_25823448,(L) 387130,55767526,2015,Positive,2
Lucy_25823448,(L) 3513769,115341384,2016,Positive,2
Lucy_25823448,(L) 3953704,62915867,2016,Positive,2
Lucy_25823448,(L) 3953704,68885262,2016,Positive,2
Lucy_25823448,(L) 3953704,72899461,2016,Positive,2
Lucy_25823448,(L) 3953704,74003567,2016,Negative,1
Lucy_25823448,(L) 4439559,61441571,2016,Positive,2
Lucy_25823448,(L) 4569536,129714212,2017,Positive,2
Lucy_25823448,(L) 5014943,26806188,2015,Negative,1
Lucy_25823448,(L) 5014943,27143722,2015,Negative,1
Lucy_25823448,(L) 5014943,27473503,2015,Negative,1
Lucy_25823448,(L) 5014943,55615969,2015,Negative,1
Lucy_25823448,(L) 5014943,60908681,2016,Negative,1
Lucy_25823448,(L) 5014943,62087255,2016,Positive,2
Lucy_25823448,(L) 5014943,64304446,2016,Positive,2
